Reading airport file...
Reading routes file...
Computing pagerank...
SOLUTION FOUND
With: 
 -Dumping factor =  0.8
 -Convergence condition : difference less than  0.0001
-------------------------------------------------------------------
-----------------------(Page rank, Airport)------------------------
(0.000646538743386474 : Keflavik International Airport, Iceland)

(0.0006436893878647112 : Newcastle, United Kingdom)

(0.0006434454446900238 : Polonia, Indonesia)

(0.0006423225903710699 : Larnaca, Cyprus)

(0.0006417114139564404 : Changle, China)

(0.0006414517822956621 : Ferihegy, Hungary)

(0.0006411410704305229 : General Mariano Escobedo Intl, Mexico)

(0.0006374833609160789 : King Salmon, United States)

(0.0006359890006641623 : Ioannis Kapodistrias Intl, Greece)

(0.0006345648717831757 : Sept Iles, Canada)

(0.0006344023330515541 : Sepinggan, Indonesia)

(0.0006322474237241008 : Jeju Intl, South Korea)

(0.0006311340459070284 : Gimhae Intl, South Korea)

(0.000630887274559573 : Subang-Sultan Abdul Aziz Shah Intl, Malaysia)

(0.0006287890027628194 : Austin Bergstrom Intl, United States)

(0.0006274553910198842 : Astana Intl, Kazakhstan)

(0.0006265540497042291 : Esenboga, Turkey)

(0.0006236375356377852 : Chinggis Khaan Intl, Mongolia)

(0.000622950792154453 : Makedonia, Greece)

(0.000621874033624725 : Tripoli Intl, Libya)

(0.0006215700362581853 : Girona, Spain)

(0.0006169799171436113 : El Salvador Intl, El Salvador)

(0.0006147350043136477 : Kahului, United States)

(0.0006136963067744876 : Catania Fontanarossa, Italy)

(0.000611969769245182 : Memphis Intl, United States)

(0.0006104248238200047 : Guararapes Gilberto Freyre Intl, Brazil)

(0.0006087152065463959 : Wabush, Canada)

(0.0006047694689057178 : Reykjavik, Iceland)

(0.0006037036121768062 : EuroAirport Basel-Mulhouse-Freiburg, Switzerland)

(0.000603286724358836 : Nausori Intl, Fiji)

(0.0006017862159544447 : Osaka Intl, Japan)

(0.0006004045678747123 : Naha, Japan)

(0.0005978176875785306 : Santos Dumont, Brazil)

(0.0005940047758277812 : Brussels South, Belgium)

(0.0005933259379376164 : Leopold Sedar Senghor Intl, Senegal)

(0.0005932308303043129 : City, United Kingdom)

(0.0005931774833385721 : Blagnac, France)

(0.000589658590140528 : Quebec Jean Lesage Intl, Canada)

(0.0005879389850152841 : Raleigh Durham Intl, United States)

(0.0005853299005290447 : Chaklala, Pakistan)

(0.0005845849523659579 : San Antonio Intl, United States)

(0.0005839230750079577 : Rafic Hariri Intl, Lebanon)

(0.0005821015143737517 : Phuket Intl, Thailand)

(0.000580609642807443 : Lusaka Intl, Zambia)

(0.0005799157874377268 : Rarotonga Intl, Cook Islands)

(0.0005771113549222527 : Pisa, Italy)

(0.0005690968355089193 : Princess Juliana Intl, Netherlands Antilles)

(0.0005579673311891668 : Thunder Bay, Canada)

(0.0005575096198997788 : Louis Armstrong New Orleans Intl, United States)

(0.0005574421592212476 : Goose Bay, Canada)

(0.0005563789372347068 : Halifax Intl, Canada)

(0.0005561369816247706 : Menorca, Spain)

