Reading airport file...
Reading routes file...
Computing pagerank...
SOLUTION FOUND
With: 
 -Dumping factor =  0.8
 -Convergence condition : difference less than  1e-08
-------------------------------------------------------------------
-----------------------(Page rank, Airport)------------------------
(0.0005567374031115384 : Beograd, Serbia)

(0.0005556456886356572 : Bologna, Italy)

(0.0005549495609627123 : Halifax Intl, Canada)

(0.0005545900101846545 : Hannover, Germany)

(0.0005515972324744832 : Heydar Aliyev, Azerbaijan)

(0.0005457899289594644 : Schonefeld, Germany)

(0.0005449231594130548 : Lanzhou Airport, China)

(0.0005445348145410635 : Kos, Greece)

(0.0005440921803212322 : Cincinnati Northern Kentucky Intl, United States)

(0.0005434631835098435 : Thunder Bay, Canada)

(0.0005406612947404044 : Dubrovnik, Croatia)

(0.0005395669237058013 : Goose Bay, Canada)

(0.0005387801155947488 : Fuerteventura, Spain)

(0.000536060199388055 : Macau Intl, Macau)

(0.0005345458139539521 : Nantes Atlantique, France)

(0.0005327390863435066 : General Mitchell Intl, United States)

(0.0005325047535015205 : Leeds Bradford, United Kingdom)

(0.0005301815488350794 : Capodichino, Italy)

(0.0005293891466530678 : Langnes, Norway)

(0.0005288746008544151 : Punta Cana Intl, Dominican Republic)

(0.0005285073537274816 : Sacramento Intl, United States)

(0.0005269366696778755 : Abidjan Felix Houphouet Boigny Intl, Cote d'Ivoire)

(0.0005264913635625261 : Olbia Costa Smeralda, Italy)

(0.0005264184430487892 : Pittsburgh Intl, United States)

(0.0005254749362874763 : Emelyanovo, Russia)

(0.0005247380721370629 : Santo Pekoa International Airport, Vanuatu)

(0.0005246037351655851 : Penang Intl, Malaysia)

(0.0005227712153896841 : Vaernes, Norway)

(0.0005222944808701259 : Douala, Cameroon)

(0.0005206723742920266 : Sanaa Intl, Yemen)

(0.0005178367483039527 : Inuvik Mike Zubko, Canada)

(0.0005164530802422736 : Phoenix-Mesa Gateway, United States)

(0.0005146924199453027 : Adnan Menderes, Turkey)

(0.000512161400246552 : Novy, Russia)

(0.0005108294646851063 : Alfonso Bonilla Aragon Intl, Colombia)

(0.0005100813171118854 : Townsville, Australia)

(0.0005090048440391582 : Sir Seewoosagur Ramgoolam Intl, Mauritius)

(0.000502691838057506 : Cochin, India)

(0.0005006857054058703 : Nuuk, Greenland)

(0.0005002316253653397 : Unalaska, United States)

(0.0005002037755595522 : Tobias Bolanos International Airport, Costa Rica)

(0.0004996478724336447 : Pinto Martins Intl, Brazil)

(0.0004968790353253519 : Bilbao, Spain)

(0.0004967301703107049 : Albuquerque International Sunport, United States)

(0.0004961652530176793 : Indianapolis Intl, United States)

(0.0004940532398919969 : Luxembourg, Luxembourg)

(0.0004917937074294573 : General Abelardo L Rodriguez Intl, Mexico)

(0.000489833589005209 : Viru Viru Intl, Bolivia)

(0.0004884961580400489 : Port Columbus Intl, United States)

(0.000488107184972241 : Allama Iqbal Intl, Pakistan)

(0.00048738756022985674 : Wenzhou Yongqiang Airport, China)

(0.0004860569293571486 : Bodo, Norway)

(0.0004831424477400416 : Hato, Netherlands Antilles)

(0.0004812578041742605 : Kuujjuaq, Canada)

(0.0004799277000340585 : Reina Beatrix Intl, Aruba)

(0.00047891039977475104 : Menara, Morocco)

(0.0004774974603155012 : Southwest Florida Intl, United States)

(0.0004745512634827702 : Luogang, China)

(0.0004713377758577792 : Minsk 2, Belarus)

(0.0004702821963283827 : Elmas, Italy)

(0.0004671901142145663 : Liverpool, United Kingdom)

(0.00046586459397338846 : Merignac, France)

(0.00046212076548727627 : Gimpo, South Korea)

(0.0004594637578653402 : Lokpriya Gopinath Bordoloi International Airport, India)

(0.00045916292155686824 : Yakutsk, Russia)

(0.0004579840921021471 : Tallinn, Estonia)

(0.0004578795161183763 : Palermo, Italy)

(0.00045738467979950935 : Changchun, China)

(0.0004560532853130433 : Chiang Mai Intl, Thailand)

(0.0004556253983000633 : Beijing Nanyuan Airport, China)

(0.000455256273018593 : Ilulissat, Greenland)

(0.00045258157730464725 : Mwalimu Julius K Nyerere Intl, Tanzania)

(0.00045064603261862744 : Knevichi, Russia)

(0.0004499063245498459 : Billings Logan International Airport, United States)

(0.0004496301157962269 : Kuching Intl, Malaysia)

(0.0004493007287307715 : Linate, Italy)

(0.00044827960532978326 : Gold Coast, Australia)

(0.00044676121321910703 : Sofia, Bulgaria)

(0.00044540169309216 : Yinchuan, China)

(0.00044499293654352704 : Red Lake Airport, Canada)

(0.00044492856598185424 : Eindhoven, Netherlands)

(0.0004431551361632776 : Sentani, Indonesia)

(0.00044264900241631626 : Male Intl, Maldives)

(0.0004421937137839471 : Kirkwall, United Kingdom)

(0.00044094315824596506 : Burgas, Bulgaria)

(0.00043988024373235924 : Zhuliany Intl, Ukraine)

(0.00043665053646302045 : Dallas Love Fld, United States)

(0.000436634476809603 : Dalaman, Turkey)

(0.0004355374690632309 : Shijiazhuang Daguocun International Airport, China)

(0.00043535784682434815 : Esfahan Shahid Beheshti Intl, Iran)

(0.00043459329258936944 : Vityazevo, Russia)

(0.0004334608764491382 : Vilnius Intl, Lithuania)

(0.00043134470612387005 : John Wayne Arpt Orange Co, United States)

(0.0004306820206332783 : Lishe, China)

(0.00042926169461671415 : Guam Intl, Guam)

(0.00042778744219896126 : Los Cabos Intl, Mexico)

(0.00042719283918900183 : Imam Khomeini, Iran)

(0.0004267290236339348 : Borg El Arab Intl, Egypt)

(0.00042666954150909333 : Kigali Intl, Rwanda)

(0.00042580495419423817 : Frankfurt Hahn, Germany)

(0.00042537731509151023 : Tille, France)

(0.00042112734499455634 : Niederrhein, Germany)

(0.00042012880832493354 : Hang Nadim, Indonesia)

(0.0004183496399496826 : Myrtle Beach Intl, United States)

(0.00041771355537047195 : Olaya Herrera, Colombia)

(0.0004171826258891088 : Mount Isa, Australia)

(0.0004160121510130228 : Sola, Norway)

(0.00041559244691658165 : Kaohsiung Intl, Taiwan)

(0.0004147002345636623 : Madeira, Portugal)

(0.00041389000197806293 : Santa Genoveva, Brazil)

(0.0004126399219042198 : Entebbe Intl, Uganda)

(0.0004122391510425778 : Pampulha Carlos Drummond De Andrade, Brazil)

(0.0004117775575757165 : Ahwaz, Iran)

(0.000411121945973163 : Cadjehoun, Benin)

(0.00041094877226266154 : Las Americas Intl, Dominican Republic)

(0.0004069591123740367 : V C Bird Intl, Antigua and Barbuda)

(0.000404896523596301 : Balice, Poland)

(0.00040474096578189625 : Eros Airport, Namibia)

(0.00040432459292207837 : Maputo, Mozambique)

(0.0004022061859087773 : Harare Intl, Zimbabwe)

(0.0004002609907870684 : Xining Caojiabu Airport, China)

(0.00039914501626927716 : Ahmedabad, India)

(0.00039904992337811275 : Jersey, Jersey)

(0.000398759227781265 : Ugnu-Kuparuk Airport, United States)

(0.00039840178359573734 : Hercilio Luz, Brazil)

(0.0003970550640553132 : Sondre Stromfjord, Greenland)

(0.00039638752704295474 : Wattay Intl, Laos)

(0.0003937146478927308 : Governador Jorge Teixeira De Oliveira, Brazil)

(0.00039345660125525666 : Jose Maria Cordova, Colombia)

(0.0003931456753568688 : Laishan, China)

(0.00039301505254198506 : Edward G Pitka Sr, United States)

